fish_num,market,date,species,height,length,weight,image_name,market_name
38,0007,2022-06-01,58369530228393,8,20,81,0007_20220601_210325_020_008_81.58369530228393_고등어.jpeg,목포
37,0007,2022-06-01,58369530228393,8,20,81,0007_20220601_210325_020_008_81.58369530228393_고등어.jpeg,목포
36,0007,2022-06-01,58369530228393,8,20,81,0007_20220601_210325_020_008_81.58369530228393_고등어.jpeg,목포
35,0007,2022-06-01,58369530228393,8,20,81,0007_20220601_210325_020_008_81.58369530228393_고등어.jpeg,목포
34,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpeg,목포
33,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpeg,목포
32,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpeg,목포
31,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpeg,목포
30,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpeg,목포
29,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpeg,목포
28,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpeg,목포
27,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpg,목포
26,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpg,목포
25,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpg,목포
24,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpg,목포
23,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpg,목포
22,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpg,목포
21,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpeg,목포
20,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpeg,목포
19,0007,2022-06-01,고등어,8,20,3,,목포
18,0007,2022-06-01,고등어,8,20,3,,목포
17,0007,2022-06-01,고등어,8,20,3,,목포
16,0007,2022-06-01,고등어,8,20,3,,목포
15,0007,2022-06-01,고등어,8,20,3,,목포
14,0007,2022-06-01,고등어,8,20,3,,목포
13,0007,2022-06-01,고등어,8,20,3,,목포
12,0007,2022-06-01,고등어,8,20,3,,목포
11,0007,2022-06-01,고등어,8,20,3,,목포
10,0007,2022-06-01,고등어,8,20,3,,목포
9,0007,2022-06-01,고등어,8,20,3,,목포
8,0007,2022-06-01,고등어,8,20,3,,목포
7,0005,2022-06-15,고등어,8,20,3,,마산
6,0003,2022-06-12,고등어,8,20,3,,다대포
5,0003,2022-06-11,고등어,8,20,3,,다대포
4,0001,2022-06-10,고등어,8,20,3,,부산
3,0002,2022-06-10,고등어,8,20,3,,감천
2,0001,2022-06-29,고등어,8,20,3,,부산
1,0001,2022-06-27,고등어,8,20,3,,부산
